ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.0502929687,0.0112304687,-1.0197753906,-49.0839691162,-2.3893129825,2.5725190639,70.7183303833,13.6335935592,2.5725190639,-2.8232374191,40.6929435729,25.6692600250
0.1174316406,-0.0451660156,-1.1574707031,-25.6106872558,25.5267181396,-3.5877861976,69.4377975463,14.9099292755,-3.5877861976,-5.7887682914,38.5797004699,26.2909088134
0.0327148437,-0.0766601562,-1.1164550781,30.6335868835,-7.6717557907,52.7480926513,70.9694747924,14.5263414382,52.7480926513,-1.6744846343,39.2306289672,25.3556861877
-0.0817871093,-0.1936035156,-0.9831542968,5.5648856163,7.9389314651,23.3893127441,71.2477188110,14.9232883453,23.3893127441,4.6661949157,38.4966392517,25.3309040069
0.0288085937,-0.1242675781,-1.0473632812,28.9465656280,-8.2824430465,-7.7862596511,72.6950454711,14.5091657638,-7.7862596511,-1.5646018981,39.0098114013,24.3871555328
0.0368652343,-0.1887207031,-1.0805664062,25.8931293487,-26.7099227905,-16.1679382324,73.9897003173,13.1736698150,-16.1679382324,-1.9248647689,39.3003578186,22.5521278381
-0.0097656250,0.0312500000,-0.9484863281,6.8702292442,7.2595419883,-13.4122133255,74.3332138061,13.5366468429,-13.4122133255,0.5895771980,38.8887290954,22.4685955047
0.0629882812,-0.1586914062,-1.1286621093,34.9083976745,-25.3511447906,-4.8778624534,76.0786361694,12.2690896987,-4.8778624534,-3.1631958484,39.6616401672,20.7137527465
0.1086425781,-0.1489257812,-1.0935058593,26.0000000000,-1.0076335668,-24.9618320465,77.3786392211,12.2187080383,-24.9618320465,-5.6222972869,39.9880485534,20.1376571655
-0.0656738281,-1.2719726562,-1.4533691406,-219.1908416748,108.9389343261,-167.8167877197,66.4190979003,17.6656551361,-167.8167877197,1.9475193977,27.6246757507,25.1118621826
-0.0053710937,-0.1838378906,-1.0708007812,12.3129768371,-11.5572519302,-8.6106872558,67.0347442626,17.0877933502,-8.6106872558,0.2832469749,27.4806861877,24.0489864349
0.0705566406,-0.0224609375,-1.0122070312,7.5038166046,-2.9694657325,7.5114502906,67.4099349975,16.9393196105,7.5114502906,-3.9864168167,27.2733974456,23.3427734375
0.0109863281,-0.0722656250,-1.0227050781,17.1755733489,-16.7328243255,6.2900762557,68.2687149047,16.1026782989,6.2900762557,-0.6139410972,27.4886989593,22.0437297821
-0.0388183593,0.1311035156,-0.8764648437,-28.6793899536,-21.6717548370,36.7709922790,66.8347473144,15.0190906524,36.7709922790,2.5080878734,25.7036190032,20.5911006927
0.0314941406,-0.2290039062,-1.0417480468,-2.0763359069,4.3129773139,-2.1679389476,66.7309341430,15.2347393035,-2.1679389476,-1.6912813186,24.8399581909,20.3567905426
