ax,ay,az,gx,gy,gz
-7344,-5308,13600,-1173,1291,-1401
-7816,-5420,14260,-950,1270,-1095
-7820,-6412,13392,-711,316,-600
-7496,-6752,13028,-112,98,-97
-7512,-5472,13708,-1806,740,455
-7776,-6876,13776,-895,-618,-170
-7784,-6224,13220,-184,-353,1208
-7508,-5864,13052,-666,-1581,294
-7296,-6564,13392,-389,-1306,604
-7200,-5920,13868,-6,-642,566
-7236,-6248,13516,288,-106,85
-7120,-6224,13196,334,175,61
-7196,-6132,13232,-65,-362,-302
-7456,-6376,13480,-371,49,-18
-7340,-6180,13572,-323,-373,-11
-7252,-6316,13576,-7,-263,371
-7224,-5788,13172,-89,-1,54
-7224,-5952,13280,-612,-171,23
-7400,-6160,13464,-565,-72,40
-7496,-6192,13596,-424,-127,391
-7228,-5888,13604,-233,-401,742
-7016,-6188,13824,-38,-205,692
-7112,-5280,13752,194,235,804
-7112,-5356,13444,546,765,557
-7500,-4852,12816,383,1337,-125
-8040,-5172,12876,-740,2063,-50
-8856,-5432,13456,-1134,1575,619
-8948,-5380,13240,-1022,1054,1939
-8728,-4964,12764,-922,324,2861
-8688,-5312,12704,-1963,-3242,4916
-8168,-5340,12732,-2697,-4159,4743
-8004,-5628,13036,-2527,-2394,3250
-8344,-5588,13056,-2678,526,3201
-8776,-5580,12972,-3286,-97,2252
-9188,-6048,12896,-3362,-1788,3031
-8944,-5684,12612,-3863,-2576,3576
-8896,-6168,13008,-3989,-992,2712
-9144,-7132,13492,-1667,-788,1161
-8792,-7628,13208,1236,-390,-1464
-8816,-7252,13144,889,1917,-1563
-9148,-6764,12880,1965,800,-2660
-8768,-6592,12496,2399,310,-3821
-8312,-5348,12736,2322,584,-3544
-7776,-5236,12752,1150,-822,-3030
-7528,-5788,14036,729,-1291,-2744
-7248,-4980,13684,1747,-1454,-801
-6844,-4852,13332,401,-3034,-458
-6112,-4976,14140,315,-1258,329
-6128,-5112,14484,341,-1375,376
-5692,-4840,13592,371,243,-711
-6284,-5812,13712,-845,4106,-1328
-7124,-5568,14056,-62,2486,-1261
-7144,-5096,13668,177,-954,-403
-6512,-5080,13488,119,-1631,-787
-6960,-5708,14392,81,918,-161
-7288,-4564,14624,393,166,673
-7232,-4256,14120,539,-1060,939
-6708,-4756,13796,444,-1535,2502
-6440,-5116,14456,-12,-1667,1981
-6184,-5504,14508,358,-132,1642
-5952,-4156,13944,-2253,1020,1809
-6032,-5676,14712,-2372,1439,2316
-6456,-5032,14736,-2276,1463,1481
-6864,-4672,15264,-2086,624,1542
-7604,-5256,15968,-2159,-1594,2635
-7920,-5444,15728,-173,-6017,1394
-7656,-5720,14280,-312,-5561,4696
-6788,-5616,13652,193,-3957,3120
-6064,-4688,13556,1545,-1585,1028
-5048,-3172,13292,3726,1693,-2469
-4956,-2080,13420,2502,6068,-2441
-4576,-2324,13644,1913,5932,-4056
-7044,-3380,14388,1763,6542,-5901
-6952,-1828,14976,-627,-2023,-6891
-7804,-3532,15160,-137,-3995,-4288
-7484,-5988,16420,-1090,-2609,-3188
-7708,-8472,16680,-230,-388,-7609
-5952,-8128,13348,5715,947,-1218
-5848,-7412,13256,3126,1569,-7193
-5776,-6836,12972,4823,2497,-5907
-6116,-6896,13820,4016,3044,-6884
-6080,-6916,13652,5378,2364,-7808
-4068,-6368,13380,4909,2291,-9163
-5908,-6220,14120,5194,1389,-11291
-5860,-4252,13880,3282,1284,-9167
-6392,-4776,15356,-833,444,-5488
-6420,-3376,15224,655,3008,-4654
-6096,-6220,14048,584,1393,-6523
-7252,-4692,14736,2204,1309,-5483
-6540,-4792,12920,206,2369,-4812
-7396,-5552,13128,171,2427,-7413
-7704,-5520,14840,3146,3206,-8705
-6444,-3552,14596,4136,3440,-7933
-6160,-2056,14428,3119,2538,-5713
-5512,-2076,15516,174,1295,-3132
-5856,-3744,15668,-522,-780,-2941
-6492,-4492,16476,1162,-2158,-1714
-6100,-6184,16184,713,-1663,-2138
-6416,-7560,15496,1155,-299,-2360
-5572,-8168,14252,1851,28,-3920
-4272,-4476,12436,1667,181,-1637
-3408,-3188,12008,1037,-354,-1672
-4324,-4392,13768,214,1077,-1934
-4820,-4636,16036,792,743,-920
-6632,-5324,17132,-20,569,-47
-7120,-6040,16652,-1920,927,591
-7360,-3560,14676,-508,-579,609
-5312,-4588,13616,-28,-2156,-337
-4416,-4720,14012,-373,62,693
-4604,-2984,14412,-369,-1539,-279
-4296,-2888,14968,-266,-844,-424
-4860,-5576,15372,-522,-652,-1975
-3724,-5272,16196,-1999,1098,-1178
-4932,-8400,14288,-2908,1739,-13
-5896,-5904,12868,-1043,2193,-2642
-6360,-5252,13948,475,789,772
-5604,-4888,13572,119,518,-1673
-4316,-6524,15168,1707,-378,-1036
-4848,-5668,15708,2591,1111,-1116
-5900,-6796,16964,1024,181,-1456
-7236,-5692,15856,606,-1479,-1173
-7144,-4308,13552,1328,-2706,-1624
-4452,-5080,12992,-761,-769,-3332
-3396,-6120,13536,-437,505,-3334
-3520,-3936,14076,647,1908,-3686
-4368,-3608,15176,1541,2262,-2075
-4048,-4264,15856,732,403,-2492
-4532,-5176,16624,506,631,-2807
-4928,-6464,17112,922,305,-2454
-5880,-7332,15360,2490,1075,-4167
-4476,-6116,13636,3121,1022,-6155
-3600,-4556,13064,1626,1437,-4894
-3368,-3344,13640,579,1516,-3565
-4000,-4432,14952,597,2262,-2301
-3628,-5044,16100,1758,625,-2906
-5236,-5072,16908,575,-261,-2971
-5976,-4784,16468,333,-1209,-2976
-5804,-5856,14904,991,-1486,-2647
-4484,-4684,14324,2303,121,-2490
-3708,-4644,14676,1973,1878,-3094
-3080,-3880,14360,1417,-384,-5076
-3328,-2932,14460,664,-740,-6458
-2764,-2284,14920,399,1329,-4698
-4232,-2972,15744,538,2217,-4419
-4996,-4144,16320,525,1219,-4749
-3844,-5240,17180,165,1903,-7789
-5824,-6436,15540,-317,3369,-9204
-4708,-6584,13652,943,1291,-7881
-6364,-4724,13844,1457,728,-6781
-3656,-3496,14712,185,1776,-4834
-4700,-4956,14688,-591,508,-2792
-3720,-5916,15688,974,67,1280
-3760,-3576,14948,-2021,-593,463
-948,-4572,16220,-3640,-2864,-458
-3840,-6412,15720,1253,-3528,2531
-4128,-5388,14900,174,-190,-546
-4728,-3888,15800,2595,-1725,1149
-4216,-3336,14592,194,-2911,3108
-3848,-3260,15120,483,-470,2284
-3852,-2788,15732,-440,3314,862
-4748,-3168,15868,-323,2233,191
-5240,-3644,15280,898,138,-1250
-3728,-3596,16032,-558,-496,370
-4316,-3208,14928,-421,977,548
-3464,-3496,14680,394,1997,1217
-3688,-1944,14284,-3376,2381,725
-3948,-4496,13316,-2850,2480,-3650
-724,-7788,16736,-400,3245,-8195
-9844,-5708,12464,-2972,-1239,-3197
-7836,-6736,15544,1448,-3848,-566
-3792,-3216,15036,-443,-3375,114
-3680,-5840,14564,112,-951,-1566
-3472,-3960,14412,342,-3221,-3054
-2724,-5000,15168,-982,-193,-774
-3932,-4976,15412,-491,1011,-2081
-2576,-6284,15512,-676,-1683,-2260
-1584,-3708,14992,1154,-2585,1883
-2628,-4380,15064,-2609,2544,70
-3508,-6288,14652,-3587,2407,1645
-4092,-7680,14596,-327,1320,3116
-4832,-6812,15520,1171,-248,2115
-3680,-6724,14788,2879,31,1443
-5852,-5172,16904,265,672,3347
-4080,-4740,14264,-950,-81,-1181
-3424,-5968,14480,-4098,2256,-4439
-3320,-4560,15580,-1083,2095,-967
-3808,-7548,13260,4450,2258,1024
-3752,-5256,15224,7330,2315,2202
-5344,-6176,15848,1170,4340,-3962
-5020,-5324,15860,1463,1223,-1156
-5284,-5256,15592,1131,564,-1739
-5500,-5900,14744,1131,-1042,-1744
-5460,-5164,15460,1364,-826,-2779
-6444,-2184,13336,40,34,-2518
-7852,-2036,14488,-384,-356,-2135
-6544,-2316,14316,457,-951,-1620
-5596,-2260,14324,-1254,-3438,-4784
-4692,-1956,15340,919,-1590,-3468
-4696,-2772,14604,-43,6930,1028
-5724,-3640,14428,-2054,7110,1961
-6768,-4564,16260,774,4544,-351
-6196,-4004,15656,-990,-3063,-5249
-7136,-4052,14920,-1654,-3518,-4356
-5804,-4724,14572,-203,-1329,-2119
-5948,-4888,14520,-86,-762,-3141
-5992,-6436,14556,-438,125,-612
