ax,ay,az,gx,gy,gz
-17280,1408,-1876,-1872,1721,3129
-15752,1324,-1656,-1557,3002,-291
-15360,1312,-1608,-1833,-1378,-4409
-17200,1480,-1892,-2132,-4721,-7335
-18824,1564,-1968,-2058,-2710,-8134
-18116,1400,-1928,-2031,1206,-6895
-15748,1212,-1532,-2428,1567,-4172
-14960,1104,-1592,-3306,-2079,-818
-16448,1352,-1736,-3750,-2652,2320
-17544,1500,-1796,-3556,1549,4753
-16976,1404,-1908,-3471,2961,5761
-17024,1388,-1804,-3555,1887,7150
-16412,1292,-1800,-3680,-1929,5110
-16948,1432,-1728,-3471,-3176,1865
-16868,1276,-1792,-2862,1029,-974
-15484,1220,-1804,-2549,3746,-2579
-15432,1104,-1664,-2940,1092,-3562
-17360,1360,-1884,-3330,-365,-4127
-18764,1564,-1916,-3309,2581,-3811
-17992,1500,-1952,-3353,5518,-2716
-15864,1212,-1728,-3774,4586,-1578
-15308,1272,-1644,-4450,-757,-1480
-16724,1376,-1780,-4732,-2849,-1472
-17492,1412,-1948,-4747,-966,-273
-16844,1308,-1864,-5118,-1810,1169
-16656,1256,-1832,-5762,-5743,1800
-17036,1356,-1904,-6121,-7442,1394
-17320,1372,-1852,-6034,-4184,1467
-16212,1284,-1732,-5567,1697,1757
-14928,1248,-1624,-5463,3040,1059
-16044,1352,-1808,-5531,1860,-297
-18140,1508,-1948,-5332,4121,-903
-18496,1520,-2028,-5033,7803,-301
-16904,1364,-1936,-5206,7792,609
-15672,1148,-1728,-5785,2873,924
-16268,1260,-1772,-6245,-1103,601
-16984,1420,-1792,-6199,167,-208
-16456,1352,-1824,-6102,1083,-1897
-16352,1344,-1848,-6390,-1780,-4522
-17392,1464,-1848,-6693,-3895,-6760
-18100,1600,-1916,-6715,-1812,-7437
-17100,1416,-1848,-6664,1909,-5911
-15308,1128,-1748,-6957,2615,-2909
-15252,1148,-1708,-7772,-1468,486
-17208,1356,-1904,-8158,-3308,3256
-18492,1468,-2072,-8123,-1393,5156
-17724,1396,-2024,-8070,-659,5648
-16544,1384,-1816,-8165,-2948,4313
-16284,1344,-1860,-8144,-4637,1358
-16576,1396,-1736,-7539,-1120,-1385
-16000,1200,-1772,-6962,4392,-2158
-15428,1160,-1724,-6997,5208,-1421
-16808,1360,-1880,-7327,3656,-289
-18388,1500,-1928,-7296,4480,1007
-18296,1508,-2020,-7087,6792,2339
-16424,1304,-1900,-7133,6163,2673
-15336,1256,-1684,-7463,1416,1132
-16280,1416,-1808,-7559,-2376,-2368
-17476,1396,-1904,-7228,-993,-5320
-17240,1372,-1948,-7017,842,-6714
-16612,1324,-1816,-7239,-397,-6985
-16684,1264,-1884,-7665,-2328,-6231
-17092,1388,-1912,-7838,-1162,-4146
-16496,1324,-1780,-7789,2231,-771
-15432,1240,-1696,-8086,1531,2018
-16148,1396,-1756,-8480,-2729,2709
-17988,1484,-2112,-8524,-4360,2358
-18516,1456,-2056,-8196,-2634,1757
-17140,1328,-1964,-8061,-1326,1147
-15636,1216,-1748,-8215,-2582,353
-15720,1224,-1708,-8195,-2893,-180
-16528,1320,-1840,-7780,1674,309
-16432,1248,-1856,-7380,6280,1217
-16500,1392,-1884,-7449,6130,1633
-17460,1428,-1928,-7549,4202,1338
-18228,1532,-2016,-7371,4156,780
-17364,1440,-1900,-7100,5361,166
-15564,1200,-1836,-7224,3598,-623
-15364,1240,-1712,-7626,-1133,-1934
