ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
-0.1347656250,-0.4753417968,-0.9179687500,4.7938933372,-1.4885496139,-3.9694657325,46981.9257812500,-194402.1718750000,-3.9694657325,7.4275984764,-25.4732875823,3.4728913307
-0.1662597656,-0.4951171875,-0.8930664062,10.6259546279,-7.1526718139,11.3129768371,48374.4570312500,-195339.5312500000,11.3129768371,9.2477045059,-25.4894924163,4.0351247787
-0.2324218750,-0.4965820312,-0.8525390625,10.0916032791,-14.8473281860,16.2061061859,49696.9609375000,-197285.2812500000,16.2061061859,13.2557229995,-25.6373462677,4.7872033119
-0.2854003906,-0.4963378906,-0.8996582031,16.8854961395,-17.9847335815,4.8015265464,51909.8046875000,-199642.1875000000,4.8015265464,15.5234079360,-25.2348899841,5.6332826614
-0.2099609375,-0.4885253906,-0.9082031250,9.9923667907,-10.0610685348,8.3358774185,53219.3046875000,-200960.6875000000,8.3358774185,11.5079736709,-25.1737060546,6.0868911743
-0.2412109375,-0.4992675781,-0.8681640625,14.5725193023,-6.8778624534,-24.4198474884,55129.0351562500,-201862.0312500000,-24.4198474884,13.5419187545,-25.1269130706,6.9128360748
-0.1054687500,-0.4304199218,-0.9340820312,20.7251911163,0.5038167953,9.0229005813,57845.0703125000,-201796.0000000000,9.0229005813,5.8551125526,-24.1674060821,6.7755899429
-0.1599121093,-0.4719238281,-0.8703613281,2.3893129825,14.8015270233,-14.0381679534,58158.1914062500,-199856.2656250000,-14.0381679534,9.1749372482,-24.6513309478,7.7645573616
-0.1828613281,-0.4853515625,-0.8635253906,-5.9923663139,1.9618320465,0.1221374034,57372.8906250000,-199599.1718750000,0.1221374034,10.4591054916,-25.5290336608,8.2521181106
-0.4440917968,-0.4975585937,-0.8344726562,-44.6183204650,-42.7328262329,37.1526718139,51525.6601562500,-205199.3125000000,37.1526718139,24.5649642944,-27.7600288391,8.8829002380
-0.3190917968,-0.4863281250,-0.9462890625,-47.1068687438,-29.9236640930,43.3282432556,45352.3046875000,-209120.8125000000,43.3282432556,16.6947193145,-29.4929103851,8.7829170227
-0.1816406250,-0.4912109375,-1.0163574218,-22.8091602325,-5.5801525115,-8.0763359069,42363.1640625000,-209852.0937500000,-8.0763359069,9.1410894393,-29.8548984527,8.5994863510
-0.4111328125,-0.4916992187,-0.9362792968,170.8625946044,-21.9007625579,-30.6870231628,64754.7070312500,-212722.1875000000,-30.6870231628,21.2442932128,-21.9670658111,9.5654249191
-0.3261718750,-0.4086914062,-0.7187500000,11.8702287673,-19.5190830230,38.0381660461,66310.2968750000,-215280.1562500000,38.0381660461,21.5287322998,-22.2737350463,10.5303611755
-0.3322753906,-0.4958496093,-0.7443847656,3.9312977790,15.7175569534,-20.1755733489,66825.4921875000,-213220.3750000000,-20.1755733489,20.3800735473,-23.4622364044,12.6758155822
-0.3627929687,-0.5605468750,-0.8149414062,-12.3511447906,6.7099237442,-22.7938938140,65206.8750000000,-212341.0468750000,-22.7938938140,20.1423587799,-25.2895050048,14.0809688568
-0.3759765625,-0.5026855468,-0.8535156250,-33.0610694885,15.1450386047,-50.9389305114,60874.2226562500,-210356.2968750000,-50.9389305114,20.7850055694,-27.1497611999,15.7302389144
-0.2338867187,-0.4882812500,-0.9667968750,-49.3282432556,7.2977099418,-31.8244266510,54409.7578125000,-209399.9375000000,-31.8244266510,12.1854095458,-29.0956420898,15.5086679458
-0.3898925781,-0.3859863281,-0.7868652343,-36.4274826049,-4.8167939186,-12.5267171859,49635.9375000000,-210031.1718750000,-12.5267171859,23.9824066162,-29.8385581970,16.5750160217
-0.1584472656,-0.4592285156,-1.0161132812,-57.1908378601,11.9083967208,-27.3969459533,42141.0781250000,-208470.5781250000,-27.3969459533,8.0873861312,-31.4028568267,15.8079786300
-0.2373046875,-0.4057617187,-0.9111328125,-46.1145019531,4.0229005813,-17.1908397674,36097.7734375000,-207943.3750000000,-17.1908397674,13.3831815719,-32.1494140625,15.6152324676
-0.2465820312,-0.3996582031,-0.9899902343,-32.8320617675,14.2290077209,-16.9923667907,31795.1308593750,-206078.6562500000,-16.9923667907,13.0052518844,-31.9311351776,15.8284683227
-0.1806640625,-0.2895507812,-0.9523925781,-52.4885482788,21.2366409301,-24.4503822326,24916.5058593750,-203295.5937500000,-24.4503822326,10.2867851257,-31.8668441772,15.8997745513
-0.2145996093,-0.2985839843,-0.9453125000,-26.9694652557,10.9618320465,3.4503817558,21382.1582031250,-201859.0468750000,3.4503817558,12.2145156860,-30.8010044097,15.8128643035
-0.1999511718,-0.3254394531,-0.9365234375,-40.9847335815,24.5190830230,-25.0458011627,16011.1093750000,-198645.8281250000,-25.0458011627,11.4021310806,-30.7381649017,16.1933155059
-0.1611328125,-0.2373046875,-0.9675292968,-48.9083976745,5.8396944999,-6.3206105232,9601.6640625000,-197880.5312500000,-6.3206105232,9.1878185272,-30.2461395263,15.3906784057
-0.1289062500,-0.1655273437,-1.0402832031,-21.4351139068,4.7862596511,9.4274806976,6792.5922851562,-197253.2968750000,9.4274806976,6.9768867492,-27.9662342071,14.3320255279
-0.2111816406,-0.1440429687,-1.0051269531,-0.6946564674,7.0152673721,0.2595419883,6701.5576171875,-196333.9531250000,0.2595419883,11.7488651275,-24.9983406066,14.2427005767
-0.1914062500,-0.1594238281,-0.9599609375,32.8091621398,3.6335878372,-19.2900772094,11001.1982421875,-195857.7656250000,-19.2900772094,11.1277723312,-21.2417602539,13.9298896789
-0.1511230468,-0.1381835937,-0.9743652343,14.2671756744,24.5038166046,-14.3053436279,12870.9111328125,-192646.5468750000,-14.3053436279,8.7302789688,-18.6457939147,14.1913604736
-0.1582031250,-0.1655273437,-1.0590820312,4.9389314651,27.6335868835,-17.6641216278,13518.1582031250,-189025.1718750000,-17.6641216278,8.3954439163,-16.9570903778,14.4964008331
-0.1264648437,-0.1960449218,-1.0173339843,5.8854961395,27.3740463256,-10.4274806976,14289.4521484375,-185437.7968750000,-10.4274806976,6.9593410491,-15.7873106002,14.5292387008
-0.0644531250,-0.2534179687,-1.1020507812,2.1068701744,22.2977104187,-2.7404580116,14565.5576171875,-182515.6875000000,-2.7404580116,3.2621688842,-15.2689867019,13.7868309020
-0.0268554687,-0.1538085937,-1.0314941406,-6.9083967208,8.7175569534,-2.0458016395,13660.2119140625,-181373.2500000000,-2.0458016395,1.4750862121,-14.5439758300,12.3105659484
-0.0725097656,-0.1264648437,-0.9411621093,-21.3969459533,14.9389314651,-10.6564884185,10856.1416015625,-179415.5000000000,-10.6564884185,4.3664355278,-14.4163551330,11.7538509368
-0.0759277343,-0.1901855468,-0.9570312500,-7.4961833953,4.5267176628,-6.9083967208,9873.7666015625,-178822.2812500000,-6.9083967208,4.4495100975,-14.2532892227,10.8505849838
