ax,ay,az,gx,gy,gz
-15840,5076,-4084,5922,15071,14974
-21464,8284,-4600,8289,5545,-15406
-18688,8088,-4236,-4072,-8508,13059
-13568,4056,-3600,-6512,-12414,11594
-11416,3712,-3276,620,-9933,-19715
-13012,6228,-3560,2423,774,-5363
-15212,5584,-3672,1660,7774,15633
-17460,5628,-3924,5966,4728,-8948
-19236,8136,-4092,3652,-1121,-10497
-17084,6836,-4004,-4708,-6259,17458
-12584,3580,-3236,-4,-2899,-1364
-12460,5212,-3520,5387,5212,-11678
-13916,6144,-3604,2480,9070,11763
-16248,5444,-3704,2419,5870,8521
-19312,7200,-4036,3227,-4336,-15256
-18088,7900,-4316,-4223,-13147,2458
-13312,4352,-3560,-5669,-11210,10253
-12036,4556,-3336,4915,3802,-13086
-15040,6760,-3996,4337,12007,5853
-17864,6452,-4084,3324,10884,11136
-18324,6732,-4004,3890,247,-11680
-16272,7008,-3724,-1344,-7215,-978
-13524,4836,-3556,-4984,-9004,11533
-12428,3904,-3400,-573,-5492,-4908
-14740,6268,-3792,2528,1374,-6746
-16752,6648,-3800,-501,3479,12644
-16684,5668,-3624,863,309,908
-17020,6516,-3792,2082,-3081,-11149
-16140,6852,-3812,-1478,-3883,3823
-13176,4360,-3420,120,1343,4648
-13244,4700,-3512,5178,6832,-11018
-15560,6676,-3664,1999,7139,3955
-17300,6260,-3716,-1716,140,9051
-17776,6604,-4120,-2002,-9791,-8154
-15252,6392,-3960,-4656,-11192,3031
-12300,4220,-3200,-2612,-2904,8400
-12660,4268,-3332,3880,5580,-7422
-16208,6748,-4024,4391,10125,-3017
-18316,6912,-4016,455,5825,7228
-16640,6064,-3744,316,-2358,-9057
-14208,5972,-3488,-1602,-4656,-3684
-12928,4832,-3292,-3359,-2655,8981
-14032,4856,-3464,233,904,-1958
-17332,7132,-3968,253,947,-2763
-17488,6656,-3888,-4105,-3373,9142
-15200,5348,-3468,-2690,-5600,-2704
-13824,5716,-3524,-289,-1619,-5837
-13904,5396,-3516,528,6729,6898
-15428,5412,-3908,4229,10373,-4274
-17116,6928,-3832,2012,5418,-5191
-16756,6636,-3752,-3863,-2585,6442
-15532,5456,-3840,-5142,-8959,-544
-14448,5800,-3816,-3314,-7722,-6113
-14044,5560,-3572,-2786,-64,7160
-14524,5016,-3420,409,4260,316
-16200,6316,-3712,1888,4751,-6537
-17456,7144,-3964,-1615,2173,4243
-15640,5516,-3780,-2138,-110,1539
-13668,5276,-3428,443,2335,-6388
-13648,5596,-3504,-668,4545,3753
-15160,5520,-3560,-1158,3054,3286
-17456,6620,-3824,-1113,-2355,-8039
-17416,7092,-4088,-4919,-7440,175
-14332,5136,-3552,-5342,-6830,2573
-12812,4720,-3212,-1252,-862,-5517
-14028,5700,-3600,486,6727,1320
-16304,6160,-3988,620,9791,7884
-17316,6440,-3804,946,4540,-3357
-16156,6548,-3728,-2331,-1712,-186
-14512,5444,-3600,-4695,-5034,3904
-13848,4988,-3524,-2454,-4018,-6337
-15564,6224,-3780,-942,1138,-4097
-16284,6092,-3748,-2182,1191,2193
-15920,5892,-3696,-1578,-1191,-4873
-15764,6336,-3680,-2605,-2063,-985
-15052,5692,-3728,-3678,9,8817
-14440,5252,-3608,587,5542,-145
-15448,6284,-3772,629,6540,1456
-16000,6044,-3636,-1631,2739,4402
-16400,6036,-3700,-2002,-3082,-6020
-16056,6504,-3792,-2875,-5917,-8130
-14300,5432,-3620,-3313,-2326,512
-13572,4904,-3412,-462,2473,-4154
-14948,5896,-3608,82,4867,-2168
-16988,6676,-3904,-2466,3300,8146
-16872,6144,-3840,-3257,-1497,3638
-15020,5904,-3716,-2711,-2601,-26
-13560,5276,-3284,-2558,178,4763
-13800,4952,-3440,-149,3125,-1620
-16172,6212,-3868,1494,4157,-9019
-17340,6884,-3928,-1552,1078,-1990
-15668,5724,-3652,-2992,-2667,-3345
-13880,5452,-3484,-2618,-2360,-4023
-14172,5576,-3592,-3295,583,6130
-15460,5660,-3688,-2051,2874,5428
-16756,6544,-3844,-1494,1283,190
-16140,6336,-3644,-3607,-1493,4588
-14804,5344,-3484,-3153,-2310,-56
-14524,5496,-3520,-724,-14,-7859
-14924,5940,-3728,-62,4958,-2199
-15428,5664,-3700,329,6272,-1728
-15860,6036,-3572,-448,2697,-5357
-16292,6492,-3656,-3854,-2283,1524
-15824,5872,-3776,-6091,-5913,5080
