ax,ay,az,gx,gy,gz
-2003,-37,-648,-35,-1,1
-1980,-31,-644,-32,-11,2
-1985,-30,-630,-35,-10,0
-1998,-28,-647,-36,-6,-8
-1995,-30,-638,-36,-9,-3
-1997,-35,-629,-36,-5,2
-1983,-27,-637,-34,-8,-6
-1987,-32,-642,-33,-6,1
-1997,-27,-632,-34,-8,-3
-1984,-33,-632,-33,-10,-3
-1989,-22,-633,-34,-1,-3
-1990,-39,-635,-38,-9,-3
-1975,-30,-623,-35,-10,1
-1996,-27,-645,-31,-4,2
-1997,-31,-648,-37,-9,-1
-1998,-38,-624,-33,-6,0
-1994,-25,-635,-33,-6,-4
-1990,-41,-649,-37,-8,-3
-1989,-27,-638,-37,-5,-4
-1987,-26,-633,-36,-6,1
-2002,-35,-627,-35,-1,-4
-1978,-32,-632,-35,-9,-3
-1982,-42,-642,-34,-8,-4
-2002,-32,-630,-34,-6,-2
-1997,-31,-642,-34,-10,-1
-1989,-37,-648,-34,-2,-5
-1995,-28,-637,-40,-3,-1
-1993,-30,-633,-37,-2,0
-1980,-38,-643,-36,-8,-1
-1996,-32,-643,-32,-2,1
-1972,-28,-635,-39,-9,0
-1986,-21,-639,-35,-5,2
-1976,-28,-630,-34,-7,-2
-1998,-36,-641,-36,-7,1
-2003,-28,-639,-35,-7,-3
-1989,-30,-630,-37,-9,2
-1982,-31,-634,-35,-11,4
-1995,-38,-647,-32,-6,3
-1990,-36,-644,-33,-6,-1
-1990,-27,-639,-34,-3,-2
-1988,-42,-639,-34,-5,2
-1982,-36,-635,-36,-8,1
-2006,-32,-640,-35,0,-2
-1991,-26,-634,-35,-10,-2
-1996,-22,-637,-34,-2,-2
-1982,-38,-633,-38,-4,-4
-1988,-27,-640,-30,-2,-2
-1977,-30,-641,-36,-6,-2
-1990,-31,-645,-37,-5,-2
-1982,-27,-639,-29,-8,-1
-1983,-29,-634,-32,-5,2
-1985,-29,-631,-35,-3,-3
-1999,-29,-635,-34,-7,-4
-1977,-26,-631,-34,-12,-2
-1985,-33,-640,-32,-7,-7
-1994,-30,-630,-34,-10,0
-1995,-34,-633,-34,-9,-9
-1985,-27,-641,-32,-8,-4
-1996,-36,-629,-33,-10,-2
-1979,-29,-643,-36,-9,-2
-1978,-35,-651,-37,-7,0
-1983,-39,-640,-37,-3,2
-1985,-37,-628,-38,-9,0
-1989,-28,-644,-37,-6,1
-1994,-40,-640,-33,-1,-4
-1982,-30,-636,-35,-7,-1
-1981,-30,-631,-34,-9,-1
-1997,-32,-637,-37,-6,-1
-1981,-24,-629,-32,-8,1
-1984,-29,-639,-37,-11,-5
-1989,-34,-649,-36,-4,-1
-1981,-30,-644,-33,-8,-4
-1982,-29,-638,-31,-5,-7
-1999,-34,-636,-32,-7,-2
-1990,-33,-639,-35,-8,-6
-1998,-25,-644,-34,-4,-2
-2001,-29,-648,-37,-10,-2
-1989,-23,-646,-36,-9,-5
-1997,-35,-643,-38,-6,0
